Song_name,Start_letter,End_letter
I've got this feeling (Extended Ver.),I,G
Jam (A.C Ver.),J,M
Lie Lie (Ceave Beat Ver.),L,E
Move Your Body,M,Y
One Two Three Four,O,R
Refresh,R,H
Stay with me,S,E
Up and down,U,N
With U Girl (Beach Ver.),W,L
You were the one,Y,E
Your Style,Y,E
느낌 (Sonic A.P.E Ver),I,T
찬가 2,T,2
An Old Story,A,Y
The Back of Beyond,T,D
Black Bird,B,D
Black Flame,B,E
Dreamy Flight,D,T
End of Summer,E,R
Energy Flower (Original Mix.),E,R
Explode Engine,E,E
Fallen Angel,F,L
Fell Hound 3,F,3
Forget,F,T
G.O.A,G,A
Gray Hunter,G,R
Gray Street,G,T
Holic,H,C
Hyper Magic,H,C
KAFAT,K,T
Legacy of Hatred (Live),L,D
Legend of Moonlight,L,T
Let me hear your voice,L,E
Mage Girl Story,M,Y
The Prince of Darkness,T,S
One's Trash,O,H
Paradise,P,E
R.E.D,R,D
Return,R,N
Revelation,R,N
Round 3,R,3
Shot Time,S,E
Silver Ocean,S,N
Soul Destructor,S,R
Soul Eater,S,R
Space Destiny,S,Y
Sunlight,S,T
Sweet Heart,S,T
Toy War,T,R
To My Love,T,E
Unrequited Love 2,U,2
White Rose,W,E
The World,T,D
빛바랜영혼,F,T
天地開闢,C,K
Black Industry,B,Y
Black Industry (And More Rock Version),B,Y
Black Key,B,Y
The Boy (Indigo Blue Mix),T,Y
Energy Flower 3007,E,7
First Choice,F,E
The First Movement of Moonlight,T,T
Refresh (Winter Remix),R,H
Round 3 (The First Noel X-mas Edit),R,3
Second Choice,S,E
Sudden Death,S,H
Sweet Land,S,D
T-eMotion,T,N
The World is One's Oyster,T,R
You Keep Me Waiting,Y,G
비온뒤 맑음,C,N
AURA,A,A
The Ashtray,T,Y
Common Story,C,Y
Digital Labyrinth,D,H
Frozen Eyes,F,S
INFINITY,I,Y
KAMUI (神威),K,I
Lucid,L,D
Monochrome,M,E
Nihilism,N,M
SIGMA,S,A
Snow Dream,S,M
Special K (ALTiTUNE Mix),S,K
새와 새의 이야기,T,S
2nd Life,2,E
Absolute Death,A,H
Altered Ego,A,O
Air (EZ2ON Ver.),A,R
Aqua Flow,A,W
Brain Power,B,R
Call me up now,C,W
comet,C,T
DataErr0r,D,R
Daydream,D,M
Don't Say Anything,D,G
Engine,E,E
Enter the Beginning,E,G
Finite,F,E
The Formula,T,A
Freefloat,F,T
GOODTEK,G,K
The Last Page,T,E
LOVE X LIE,L,E
Messier 333,M,3
METATRON,M,N
MilK,M,K
Never Feel This Way,N,Y
Only See Me Now,O,W
picking,P,G
PUPA,P,A
R-decision,R,N
SINGULAR POINT,S,T
SINUS,S,S
starflyer,S,R
TYR,T,R
ULTIMATUM,U,M
WE ALIVE,W,E
#BEYOND,B,D
Black sour Ruby,B,Y
Ctrl + Alt + Del,C,L
Darker than Black,D,K
Encounter on orbit,E,T
Guardian,G,N
Last Knot,L,T
Precision Strike,P,E
Skyline,S,E
sweet★star,S,R
Hi-TECH Soda Machine,H,E
별바라기 (Starseeker),S,R
Destruction,D,N
Regeneraxion,R,N
8th Planet (Progressive House Remix),8,T
Last Flight,L,T
Footprints,F,S
Doll's Garden,D,N
"Wars of the Roses, 1455",W,5
Eraser Rain for GAIA,E,A
Blood Castle (Remix),B,E
Tempus Praeterita,T,A
LOKI,L,I
Le Grand Bleu,L,U
ApolloN,A,N
Atomizer,A,R
Stay (TAK Remix),S,Y
Stay 2022,S,2
Belong To You,B,U
R.F.C. Ⅱ,R,I
Over Drying,O,G
Iron Cloud,I,D
開花,G,A
Glacial Alice,G,E
ATOPY,A,Y
Backfire,B,E
TakeOFF,T,F
Kings,K,S
LIGHTYEAR,L,R
kthnox,K,X
A Showdown Between Two Prideful Geniuses,A,S
고백 (Go Back),G,K
Sakura Garden,S,N
별처럼 (Stella),S,A
Next Endeavour,N,R
Various Ways,V,S
Start Me Up,S,P
MAX301,M,1
Unleashed Emotions,U,S
felys -final remix-,F,S
TRPNO,T,O
coastline,,
Faker,,
Higher,,
JUSTITIA,,
LIMBO,,
Miracle Kiss,,
個人的なメモ (KENPO SAITO),,
Nobody Face Love,,
ROD7,,
TROMA,,
Like This,L,S
Can You Feel,C,L
Cross Time,C,E
Visual Dream,V,M
Move it on (DJ HD Mix),M,N
Feel The O2Jam,F,M
잘가라 (Go Hell),G,L
꿈속의 신부,B,M
Identity Part 2,I,2
아름다운날,A,Y
End of Fight,E,T
Blue Moon,B,N
The Power of Light,T,T
아시나요,A,O
Black Dragon,B,N
Headless Chicken,H,N
Unison System,U,M
바람의 날개,W,D
The Queen,T,N
Start On <RED>,S,D
Starting Point,S,T
"Stay, Dance (feat. Renko)",S,E
Coastral,C,L
Life is PIANO,L,O
Pasteloid,P,D
Raindrops (feat. 倉先),R,S
つきとあい (feat. TooMits),T,I
シルベ -Mage's Dawn Ver.-,S,E
Lady and Lazy,L,Y
MOBILYS,M,S
NeosbladE,N,E
NightTheater,N,R
Nightfall,N,L
Violetism,V,M
Voiden,V,N
CO5M1C R4ILR0AD,C,D
Keep On!,K,N
NULCTRL,N,L
浮世絵横丁,U,Y
MilK,M,K
EMOMOMO,E,O
Playing with Ruby,P,Y
Brain Power,B,R
Brain Power ~Cranky Remix~,B,R
Sunken Memory,S,Y
GOODTEK,G,K
MOON LIGHT DANCE,M,E
魔理沙は大変なものを盗んでいきました,M,G
conflict,C,T
conflict -NOMA CONCEIVER REMIX-,C,T
Azure Eyez,A,Z
Novatail,N,L
夢／あるいは在りし日の,Y,O
Natalia:Code,N,E
Strange Bar,S,R
Retro Color Stage,R,E
Asteroid`s Dream,A,M
Sazanka,S,A
NeosbladE ~X-mas Remix~,N,E
チルノのパーフェクトさんすう教室,C,S
CYBER Sparks,C,S
Paved Garden,P,N
POP SEQUENCE,P,E
Slapstick Parfait,S,T
CROSSING DELTA,C,A
MOON LIGHT DANCE -Full Song- H [M],M,E
Ready to Flight,R,T
Shadow Call (feat. Sennzai),S,L
Into a Frenzy,I,Y
斬鉄剣,Z,N
Shining Aquarius,S,S
Aqua Stars,A,S
Submarine Log,S,G
Crystal,C,L
Dement -After Legend-,D,T
Snow Wolf,S,F
"Bass, House, Rave",B,E
Maris Stella,M,A
Winning Wave,W,E
Full Color Cocktail,F,L
暁の言葉,A,A
Space Carousel,S,L
銀世廻,G,I
Pearly Stars,P,S
WARNING×WARNING×WARNING,W,G
シアワセエゴイスト,S,T
Aquamarine,A,E
One Way Drive,O,E
Influx,I,X
ENERGY SYNERGY MATRIX,E,X
Raintain,R,N
Routeout,R,T
414 PER SPEED,4,D
414 PER SPEED (yomoha Remix),4,D
Tourmaline,T,E
Wolfsbane,W,E
Lemon,L,N
U.S.A,U,A
POP TEAM EPIC,P,C
sugar song and bitter step,S,P
A Cruel Angel's Thesis,A,S
genesis of aquarion,G,N
ETERNAL BLAZE,E,E
Sky blue Days,S,S
Welcome to japari park,W,K
Cloudless,C,S
Charles,C,S
dramaturgy,D,Y
I Want to Be a super Nuko,I,O
Humanoid,H,D
Mirai to Mirai,M,I
Hitogata,H,A
The Light,T,T
AIAIAI (feat. Yasutaka Nakata),A,I
Kirameki Rider,K,I
REFLECT,R,T
The First Sound,T,D
Chururira Chururira Daddadda!,C,A
Two-Sided Lovers / Two-Faced Lovers,T,S
Hello/How Are You,H,U
Happy Synthesizer,H,R
Clockwork Clown,C,N
Thousand Cherry Blossoms,T,S
Bad ∞ End ∞ Night,B,T
Tell Your World,T,D
Six Trillion Years and One Nught Story,S,Y
Brain Fluid Explosion Girl,B,L
Lost One's Weeping,L,G
Tale of the Deep-sea Lily,T,Y
ECHO,E,O
Night Sky Patrol of Tomorrow,H,W
Ghost Rule,G,E
"*Hello, Planet",H,T
Rotten Heresy and Chocolate,R,E
DUNE,D,E
Solar System Disco,S,O
Akane chan Will Listen to Wahtever You Have to Say,A,Y
ROKI,R,I
METEOR,M,R
Greenlights Serenade,G,E
BRING IT ON,B,N
Android Girl,A,L
Children Record,C,D
Please Darling,P,G
LOVE FOR YOU,L,U
My Awaited Won't Come,M,E
Tayutau Love (feat. Rapbit),T,E
Bad Apple!! feat.nomico,B,E
Marisa Stole the Precious Thing,M,G
Streamy Soul Hot-Springs,S,S
Aund By Me,A,E
Sacred Girl's Sacrifice,S,E
Captain Murasa ［Tracy vs. Astronomical Mix］,C,A
Finally Becoming a Buddha,F,A
Night of Knights/ Knight of Nights,N,S
Venus Rocket,V,T
taboo tears you up 2017 -GC EDIT-,T,7
Joker Junko ~ Eienno Junka,J,A
Metamorphosis,M,S
Scream Out!,S,T
"Clouds Over the Moon, and Wind Over the Flowers",C,S
ID,I,D
FEEL MY BEAT!,F,T
FullMoon,F,N
Kage No Densetsu -BUTAOTOME Mix-,K,U
Sayo No Theme ~t+pazolite Arrange~,S,E
Bubble Bobble Medley,B,Y
Battle#2 -Hige Driver Mix-,B,2
THE SEVENTH BOSS 2019 (GC Mix),T,9
A Lightning Dual Hope (GC Mix),A,E
FAKE -PROGRESSIVE KOTA MIX- (GC Mix),F,E
The world of spirit,T,T
Freedom,F,M
Jack-the-Ripper◆,J,R
While Shining feat. Yukacco,W,G
Brain Power,B,R
ouroVoros,O,S
Party 4U ’’holy nite mix’’,P,U
conflict,C,T
AXION,A,N
B.B.K.K.B.K.K.,B,K
Tropics -GC edit-,T,S
Halcyon,H,N
LINK LINK FEVER!!!,L,R
GROOVE LOOP,G,P
An indignant world,A,D
KUNG FU GIRL,K,L
It's a pit world,I,D
Shiva,S,A
VOLT,V,T
Cosmic Ray,C,Y
Got more raves?,G,S
MERLIN,M,N
Lost Colors,L,S
Tobitate! DreamParty,T,Y
Horizons,H,S
ADRENA,A,A
Kimi no Starlight Road,K,D
Hitorishizuka,,
Cirno's Perfect Math Class,,
"Burnt Black, the End of Frozen Beauty",,
Epicurus' Rainbow Can No Longer Be Seen,,
7 days a week,,
The Maid and the Pocket Watch of Blood,,
tete+a+tete,,
Mischievous Sensation,,
And Then There Were None,,
Saishuu Kichiku Imouto Flandre S,,
Romeo and Cinderella,,
Crimson Leaf,,
Getting Faster,,
Fixer,,
Teo,,
Unknown Mother-Goose,,
Reverse Universe,,
I want to be in your heart,,
Akari has Arrived,,
Abstract Nonsense,,
Bonetrousle,B,E
Spear of Justice,S,E
Spider Dance,S,E
Death by Glamour,D,R
ASGORE,A,E
Your Best Nightmare,Y,E
Last Goodbye,L,E
Battle Against a True Hero,B,O
MEGALOVANIA,M,A
THE WORLD REVOLVING,T,G
Demparade Japan,,
W.W.D,,
Denden Passion,,
Sakura Appareshon,,
Chururi Chururira,,
Demparty Night,,
Otsukare Summer,,
Psi Hakkenden!,,
Precious Summer,,
Future Diver,,
The Princess of Lucifer,T,R
THE END OF HATSUNE MIKU,T,U
Cendrillon,C,N
Meltdown,M,N
The MMORPG ADDICTS ANTHEM,T,M
12funclub,1,B
It Seems Like There's A Secret Command To Becoming Happy,I,Y
Alien Alien,A,N
Law-evading Rock,L,K
Andromeda Andromeda -Invade MIX-,A,A
Cristalize!,,
IN MY LIFE,,
DOWN DOWN DOLL,,
My Voice is Dead.,,
Colors,,
Hutatsu No Tamashi Wo Tsurugi Ni Takushite,,
"The Justice Called ""Innocence""",,
"Dance in the Blue Sky, Ink Black Cherry Blosom",,
Border of Colour,,
Dan.Maku.Ke.Kai,,
Future,,
Night Tales Deceive,,
Circuit DISCO,,
Over Drive,,
Perverse Love Rock!,,
Conqueror,,
Into Starlight,,
Reload,,
Tell me,,
Outer Science,,
Finder,,
JINGAI CRISIS,,
Echoed Bonds,,
Guru ☆ Nation,,
Bubble no Jumon ha Shu! Po! Push!,,
Cinderella Cage,,
Gensouno tabibitohe ~ Catch the Heart,,
"Help me, ERINNNNNN!!",,
"Ephemeral, Great and Splendid Land of Grief",,
SACRIFICE feat. ayame (GC REFIX),,
DX Choseinou Full Metal Shojo,D,O
MIRACLE PARTY,M,Y
Xand-Roid,X,D
HAPPY! LUCKY! FUTURE WORLD!,H,D
QLWA,Q,A
MAD FREAKS,M,S
Little Higher,L,R
MOVING FASTER FT. LINDSEY MARIE,M,E
Cosmic Express,C,S
GLITHCRE,G,E
Frey's Philosophy,,
Journey,,
cyanine,,
Apocalypse,,
Song for Sprites,,
Androgynos,,
You are the Miserable,,
Hayabusa,,
Specta,,
MariannE (Lanota Edit),,
glory day,G,Y
OBLIVION,O,N
U.A.D,U,D
Don’t Die,D,E
Nevermind,N,D
Thor,T,R
SON OF SUN,S,N
Fermion,F,N
I want You,I,U
Ray of Illuminati,R,I
1/8000000,,
GROOVE IT LUCKY (GC Mix),,
Iro wa Nioedo Chirinuru wo (Fractal 1.5 ver),,
Ningen ga Daisuki no Kowareta Youkai no Uta,,
Kiyoraka na Koufuku,,
Tengu no Wabi Shoumon,,
I,,
Keep the Faith,,
Foughten Field,,
Kero 9 destiny,,
World's End Dancehall,,
We Are Different!!! (or Same),,
Comet Honeymoon,,
I wanna be it!,,
Suicide Parade,,
Venom,,
Otome Kaibou,,
Zettai Ni Chocomint Wo Taberu Aoichan,,
Villain,,
Yankee Boy Yankee Girl,,
God knows…,,
only my railgun,,
Gokuraku Jodo,,
Yoru ni Kakeru,,
Hibari,,
Shiny Smily Story,,
Tatake Tatake Tee Tatake,,
-A.I.D-,,
Yumemiru Sorae,,
The Koga Ninja Scrolls,,
Gimme gimme virtuaL saikou star!!!!,,
GROOVE THE HEART,,
Caramel Mocha,,
Under The Moon,,
Zawawa,,
PUT YOUR HANDS UP,,
Zenjinrui Inuka Keikaku,,
Aurgelmir,,
FUJIN Rumble,,
"Marry me, Nightmare",,
Lights of Muse,L,E
Stargazer,S,R
XING,X,G
Funkotsu Saishin Casinou,F,U
Gift box,G,X
ЯUBY:LINTe,R,E
Altale,A,E
GOODBOUNCE,G,E
Punai Punai Taisou,P,U
MilK,M,K
Spider's Blood,,
NetaminityTheater「666」,,
OEYAMA Giant Swing,,
"Kodou, Koborenu Sake",,
Satori Eye (feat. y t r),,
BlazeConductor,,
KAMINOHI,,
Okuu no Nuclear Fusion Dojo,,
KARISOME,,
Touhou Souchimai,,
Let you DIVE!,L,E
Gate One,G,E
Poseidon,P,N
Knight Rider,K,R
with U,W,U
Ever Free,E,E
Sound Chimera,S,A
Shiny Memory feat. Yukacco,S,O
RAV#GIRL,R,L
Invisible Frenzy,,
Servant of Evil,,
Iroha Uta,,
Just Be Friends,,
Remote Control,,
Amanojaku,,
39 Music!,,
Jailbreak,,
Junky Night Town Orchestra,,
KING,,
Doctor=Funk beat,,
OVER THE NIGHT,O,T
SKYSCRAPER,S,R
Groove Prayer,G,R
HG Makaizou Polyvinyl Shounen,H,N
JUMPEE!,J,E
Heisei Kaisei Dottensyan,H,N
APELIOTES,A,S
Apocalypse Lotus,A,S
Third Time UNLucky,T,Y
Interceptor of SIREN,I,N
Hare Hare Yukai,,
Connect -TV MIX-,,
DreamRiser,,
Moonlight,,
Usseewa,,
Kaikai Kitan,,
Mr.VIRTUALIZER,,
"Excuse My Rudeness, But Could You Please RIP?",,
HINOTORI,,
fake town baby,,
Ignotus,I,S
Be There,B,E
Metallic Punisher,M,R
Modelista,M,A
Singularity,S,Y
Corruption,C,N
Grievous Lady,G,Y
Black Lotus,B,S
GOODTEK,G,K
First Snow,F,W
1llusion 0f the FAIRYtALE hARMONY,1,Y
Play merrily NEO,P,O
Invader OnDo,I,O
Seija no Kigan,S,N
DX Choyasei! Survival Zundoko Chan,D,N
koinegau,K,U
Valkyrja Requiem,V,M
COSMOSTART,C,T
Happy 10th anniversary,H,Y
Per Aspera Ad Astra,P,A
仙酌絶唱のファンタジア,,
IMAGINA,,
君色Petal,,
ピュアヒューリーズ-YS MIX-,,
ロストワードクロニカル,,
ホイホイ☆幻想ホロイズム,,
シアワセうさぎ・ぺこみこマリン,,
幻想に咲いた花,,
マツヨイナイトバグ,,
東方音銃夢,,
LOVE!HUG!GROOVY!!,,
ぐるぐるDJ TURN!!,,
電乱★カウントダウン,,
Photon Melodies,,
バラライカ,,
気分上々↑↑,,
CAPTAIN NEO～BOSS SCENE1(D4DJ MIX),,
CHAOS～BOSS SCENE7(D4DJ MIX),,
URBAN TRAIL(D4DJ MIX),,
DADDY MULK(D4DJ MIX),,
Seizya no Kodo,,
Satisfiction,,
AM Kizoku Sutadontan Denka,,
Jukusei Jozo Hakkosei - Space Yogurt Earth,,
The secrets of ghosts,,
#AKKAN_BABY,,
Adventure for Two Tones,,
Moonflare,,
Cryptocurrency Billionaire,,
Warlock,,
Kokoro,,
Double Lariat,,
Ametokusari,,
Crazy ∞ nighT,,
Dreamin Chuchu,,
Positive Dance Time,,
Good-Bye Declaration,,
ヴァンパイア,,
ぐるぐるめろメロディ♪,,
ルカルカ★ナイトフィーバー,,
女々しくて,,
全力バタンキュー,,
RDY,,
アゲナゲン,,
怪物,,
マイアングル,,
オペレーション・ネバーランド,,
We are VOX MONSTERS,,
Second Sight Stella,,
Pray,,
PIXEL STAR,P,R
Kung Fu Master,K,R
Owaranai Grtoove,O,E
TAKING OFF,T,F
Lethal Dose,L,E
Welcome to the Multiverse!,W,E
GrimoireD,G,D
Headshot,H,T
Sorae,S,E
SHINDOI THE RIDE,S,E
Namcot Medley,,
KAGEKIYO 源平討魔伝メドレー,,
ドラゴンスピリットメドレー,,
Penetration of light into morality,,
ON THE VERGE OF REVIVAL(RED HARDCORE REMIX),,
Twister -Final Remix-,,
サムデイ,,
NEW GAME,,
LAST CALL,,
Shadow,,
スカーレット警察のゲットーパトロール24時,,
No Life Queen [DJ Command Remix],,
Who Killed U.N.Owen,,
細い線,,
東方散楽祭,,
ってゐ！ ～えいえんてゐver.～,,
患部で止まってすぐ溶ける ～ 狂気の優曇華院,,
Cruel Moon NuMIX,,
囲い無き世は一期の月影,,
境界の宴,,
Legend of Moonlight,L,T
The Prince of Darkness,T,S
ApolloN,A,N
A Site De La Rue,A,E
sweet★star,S,R
WE ALIVE,W,E
picking,P,G
Daydream,D,M
Hi-TECH Soda Machine,H,E
Kamui,K,I
